Predicted age composition of Catch-at-age,,1,2,3,4,5,6,7,8,9,10
1974,pred,0.141052,0.211373,0.173965,0.108852,0.0605766,0.0877602,0.0234618,0.023612,0.0316719,0.13767533
1975,pred,0.0816219,0.344959,0.106012,0.0773133,0.0592662,0.122442,0.030509,0.0225934,0.0247152,0.13056823
1976,pred,0.110558,0.222924,0.192749,0.0525798,0.0470501,0.13372,0.0474672,0.0328209,0.0263908,0.13374013
1977,pred,0.104022,0.289297,0.118818,0.0910254,0.0304583,0.101698,0.0493148,0.0487147,0.0366343,0.1300173
1978,pred,0.102498,0.278255,0.158549,0.0573913,0.0536968,0.067388,0.0384389,0.0516425,0.0556708,0.1364703
1979,pred,0.0525171,0.276286,0.154626,0.0772047,0.0339701,0.119882,0.0257338,0.040478,0.0595656,0.1597374
1980,pred,0.119605,0.15587,0.170862,0.0837033,0.0506635,0.0835952,0.0510329,0.0299883,0.0516646,0.203015
1981,pred,0.0884922,0.295592,0.0798011,0.0766615,0.0456105,0.103746,0.029449,0.049413,0.03179,0.1994454
1982,pred,0.108068,0.230837,0.160649,0.0382047,0.044665,0.0985531,0.0390302,0.0303468,0.055517,0.1941285
1983,pred,0.255122,0.218132,0.121106,0.100054,0.0333232,0.0744983,0.0301175,0.0276316,0.0191344,0.12088127
1984,pred,0.143481,0.343807,0.14626,0.0740288,0.0630292,0.0351132,0.0292548,0.0257755,0.0254833,0.1137674
1985,pred,0.135091,0.209334,0.247988,0.0961293,0.0502052,0.0717155,0.0148046,0.0270506,0.0256849,0.1219972
1986,pred,0.267147,0.173151,0.133017,0.143452,0.0572827,0.0502504,0.0265486,0.0119897,0.0236203,0.11354065
1987,pred,0.16263,0.345254,0.111378,0.077876,0.0864052,0.0579078,0.0188189,0.021669,0.0105531,0.10750778
1988,pred,0.264731,0.197641,0.208914,0.0614987,0.0443468,0.0821182,0.0205926,0.0145718,0.0180738,0.08751248
1989,pred,0.236566,0.321661,0.118205,0.113936,0.0346744,0.0419405,0.0287824,0.0158934,0.0121152,0.07622639
1990,pred,0.266002,0.278211,0.186943,0.0627265,0.0625197,0.0317867,0.0143543,0.0216029,0.0128441,0.06300891
1991,pred,0.272171,0.300798,0.154501,0.0948411,0.0329797,0.0549595,0.0104139,0.0103744,0.0168047,0.05215667
1992,pred,0.303486,0.299973,0.162473,0.0763988,0.0487324,0.0282229,0.0176482,0.0073885,0.00791447,0.0477631
1993,pred,0.298116,0.32584,0.15632,0.0775629,0.0380238,0.040457,0.00876298,0.0122186,0.00549754,0.03720107
1994,pred,0.285122,0.330784,0.175015,0.0772331,0.0401438,0.0325657,0.0131425,0.00635822,0.00951003,0.03012536
1995,pred,0.291287,0.319653,0.176084,0.0856891,0.0398176,0.0344595,0.0104759,0.00962079,0.00499084,0.02792183
1996,pred,0.296266,0.322736,0.168495,0.08552,0.0438751,0.0337972,0.0110485,0.00762594,0.00750404,0.0231314
1997,pred,0.224528,0.361049,0.1855,0.0891597,0.0477831,0.0408189,0.011778,0.00881697,0.00652179,0.02404423
