INDEX,cpue_use_1,cpue_units_1,cpue_vulnerability_1,cpue_timing_1,cpue_first_age_1,cpue_last_age_1,cpue_title_1
1,0,1,4,-1,7,16,CAN_Combined_RR
2,1,1,4,-1,8,16,CAN_GSL_Acoustic
3,1,1,4,-1,1,5,US_RR<145
4,1,1,4,-1,2,4,US_RR_66_114
5,1,1,4,-1,4,6,US_RR_115_144
6,0,1,4,-1,6,8,US_RR_145_177
7,1,1,4,-1,9,16,US_RR>195
8,0,1,4,-1,9,16,US_RR>195_COMB
9,0,1,4,-1,8,16,US_RR>177
10,1,1,4,0,2,16,JLL_AREA_2_(WEST)
11,0,1,4,0,2,16,JLL_AREA_3_(31+32)
12,0,1,4,0,2,16,JLL_AREAS_17+18
13,1,2,4,-1,8,16,LARVAL_ZERO_INFLATED
14,1,1,4,0,8,16,GOM_PLL_1-6
15,1,1,4,0,8,16,JLL_GOM
16,0,4,1,-1,1,3,TAGGING
17,1,1,3,0,5,16,JLL_RECENT
