Age,M_east,M_west,WAA_east,WAA_west,MAA_east,MAA_west_old,MAA_west_young
1,0.38,0.38,0.00329,0.00197,0,0,0
2,0.3,0.3,0.00944,0.00507,0,0,0
3,0.24,0.24,0.01918,0.0111,0.25,0,0.25
4,0.2,0.2,0.03233,0.0212,0.5,0,0.5
5,0.18,0.18,0.04847,0.03609,1,0,1
6,0.16,0.16,0.06711,0.05576,1,0.001,1
7,0.14,0.14,0.08769,0.0795,1,0.007,1
8,0.13,0.13,0.10968,0.10607,1,0.039,1
9,0.12,0.12,0.1326,0.13401,1,0.186,1
10,0.1,0.12,0.15602,0.16194,1,0.563,1
11,0.1,0.11,0.17958,0.18869,1,0.879,1
12,0.1,0.11,0.20296,0.21348,1,0.976,1
13,0.1,0.11,0.22593,0.2358,1,0.996,1
14,0.1,0.1,0.24827,0.25547,1,0.999,1
15,0.1,0.1,0.26984,0.27249,1,1,1
16,0.1,0.1,0.29053,0.28699,1,1,1
17,0.1,0.1,0.31026,0.29921,1,1,1
18,0.1,0.1,0.32899,0.30941,1,1,1
19,0.1,0.1,0.34667,0.31786,1,1,1
20,0.1,0.1,0.36332,0.32481,1,1,1
21,0.1,0.1,0.37894,0.3305,1,1,1
22,0.1,0.1,0.39354,0.33515,1,1,1
23,0.1,0.1,0.40716,0.33892,1,1,1
24,0.1,0.1,0.41984,0.34199,1,1,1
25,0.1,0.1,0.43162,0.34446,1,1,1
26,0.1,0.1,0.44253,0.34647,1,1,1
27,0.1,0.1,0.45263,0.34808,1,1,1
28,0.1,0.1,0.46196,0.34938,1,1,1
29,0.1,0.1,0.47058,0.35043,1,1,1
