CV (average),Index Name,yr
0.262,MOR_SP_TP,1974
0.262,MOR_SP_TP,1975
0.262,MOR_SP_TP,1976
0.262,MOR_SP_TP,1977
0.262,MOR_SP_TP,1978
0.262,MOR_SP_TP,1979
0.262,MOR_SP_TP,1980
0.262,MOR_SP_TP,1981
0.262,MOR_SP_TP,1982
0.262,MOR_SP_TP,1983
0.262,MOR_SP_TP,1984
0.262,MOR_SP_TP,1985
0.262,MOR_SP_TP,1986
0.262,MOR_SP_TP,1987
0.262,MOR_SP_TP,1988
0.262,MOR_SP_TP,1989
0.262,MOR_SP_TP,1990
0.262,MOR_SP_TP,1991
0.262,MOR_SP_TP,1992
0.262,MOR_SP_TP,1993
0.262,MOR_SP_TP,1994
0.262,MOR_SP_TP,1995
0.262,MOR_SP_TP,1996
0.262,MOR_SP_TP,1997
0.262,MOR_SP_TP,1998
0.262,MOR_SP_TP,1999
0.262,MOR_SP_TP,2000
0.262,MOR_SP_TP,2001
0.262,MOR_SP_TP,2002
0.262,MOR_SP_TP,2003
0.262,MOR_SP_TP,2004
0.262,MOR_SP_TP,2005
0.262,MOR_SP_TP,2006
0.262,MOR_SP_TP,2007
0.262,MOR_SP_TP,2008
0.262,MOR_SP_TP,2009
0.262,MOR_SP_TP,2010
0.262,MOR_SP_TP,2011
0.262,MOR_SP_TP,2012
0.262,MOR_SP_TP,2013
0.262,MOR_SP_TP,2014
0.262,MOR_SP_TP,2015
0.5179,MOR_POR_TP,1974
0.5179,MOR_POR_TP,1975
0.5179,MOR_POR_TP,1976
0.5179,MOR_POR_TP,1977
0.5179,MOR_POR_TP,1978
0.5179,MOR_POR_TP,1979
0.5179,MOR_POR_TP,1980
0.5179,MOR_POR_TP,1981
0.5179,MOR_POR_TP,1982
0.5179,MOR_POR_TP,1983
0.5179,MOR_POR_TP,1984
0.5179,MOR_POR_TP,1985
0.5179,MOR_POR_TP,1986
0.5179,MOR_POR_TP,1987
0.5179,MOR_POR_TP,1988
0.5179,MOR_POR_TP,1989
0.5179,MOR_POR_TP,1990
0.5179,MOR_POR_TP,1991
0.5179,MOR_POR_TP,1992
0.5179,MOR_POR_TP,1993
0.5179,MOR_POR_TP,1994
0.5179,MOR_POR_TP,1995
0.5179,MOR_POR_TP,1996
0.5179,MOR_POR_TP,1997
0.5179,MOR_POR_TP,1998
0.5179,MOR_POR_TP,1999
0.5179,MOR_POR_TP,2000
0.5179,MOR_POR_TP,2001
0.5179,MOR_POR_TP,2002
0.5179,MOR_POR_TP,2003
0.5179,MOR_POR_TP,2004
0.5179,MOR_POR_TP,2005
0.5179,MOR_POR_TP,2006
0.5179,MOR_POR_TP,2007
0.5179,MOR_POR_TP,2008
0.5179,MOR_POR_TP,2009
0.5179,MOR_POR_TP,2010
0.5179,MOR_POR_TP,2011
0.5179,MOR_POR_TP,2012
0.5179,MOR_POR_TP,2013
0.5179,MOR_POR_TP,2014
0.5179,MOR_POR_TP,2015
0.16,JPN_LL_EastMed,1974
0.16,JPN_LL_EastMed,1975
0.16,JPN_LL_EastMed,1976
0.16,JPN_LL_EastMed,1977
0.16,JPN_LL_EastMed,1978
0.16,JPN_LL_EastMed,1979
0.16,JPN_LL_EastMed,1980
0.16,JPN_LL_EastMed,1981
0.16,JPN_LL_EastMed,1982
0.16,JPN_LL_EastMed,1983
0.16,JPN_LL_EastMed,1984
0.16,JPN_LL_EastMed,1985
0.16,JPN_LL_EastMed,1986
0.16,JPN_LL_EastMed,1987
0.16,JPN_LL_EastMed,1988
0.16,JPN_LL_EastMed,1989
0.16,JPN_LL_EastMed,1990
0.16,JPN_LL_EastMed,1991
0.16,JPN_LL_EastMed,1992
0.16,JPN_LL_EastMed,1993
0.16,JPN_LL_EastMed,1994
0.16,JPN_LL_EastMed,1995
0.16,JPN_LL_EastMed,1996
0.16,JPN_LL_EastMed,1997
0.16,JPN_LL_EastMed,1998
0.16,JPN_LL_EastMed,1999
0.16,JPN_LL_EastMed,2000
0.16,JPN_LL_EastMed,2001
0.16,JPN_LL_EastMed,2002
0.16,JPN_LL_EastMed,2003
0.16,JPN_LL_EastMed,2004
0.16,JPN_LL_EastMed,2005
0.16,JPN_LL_EastMed,2006
0.16,JPN_LL_EastMed,2007
0.16,JPN_LL_EastMed,2008
0.16,JPN_LL_EastMed,2009
0.16,JPN_LL_EastMed,2010
0.16,JPN_LL_EastMed,2011
0.16,JPN_LL_EastMed,2012
0.16,JPN_LL_EastMed,2013
0.16,JPN_LL_EastMed,2014
0.16,JPN_LL_EastMed,2015
0.234,JPN_LL1_NEA,1974
0.234,JPN_LL1_NEA,1975
0.234,JPN_LL1_NEA,1976
0.234,JPN_LL1_NEA,1977
0.234,JPN_LL1_NEA,1978
0.234,JPN_LL1_NEA,1979
0.234,JPN_LL1_NEA,1980
0.234,JPN_LL1_NEA,1981
0.234,JPN_LL1_NEA,1982
0.234,JPN_LL1_NEA,1983
0.234,JPN_LL1_NEA,1984
0.234,JPN_LL1_NEA,1985
0.234,JPN_LL1_NEA,1986
0.234,JPN_LL1_NEA,1987
0.234,JPN_LL1_NEA,1988
0.234,JPN_LL1_NEA,1989
0.234,JPN_LL1_NEA,1990
0.234,JPN_LL1_NEA,1991
0.234,JPN_LL1_NEA,1992
0.234,JPN_LL1_NEA,1993
0.234,JPN_LL1_NEA,1994
0.234,JPN_LL1_NEA,1995
0.234,JPN_LL1_NEA,1996
0.234,JPN_LL1_NEA,1997
0.234,JPN_LL1_NEA,1998
0.234,JPN_LL1_NEA,1999
0.234,JPN_LL1_NEA,2000
0.234,JPN_LL1_NEA,2001
0.234,JPN_LL1_NEA,2002
0.234,JPN_LL1_NEA,2003
0.234,JPN_LL1_NEA,2004
0.234,JPN_LL1_NEA,2005
0.234,JPN_LL1_NEA,2006
0.234,JPN_LL1_NEA,2007
0.234,JPN_LL1_NEA,2008
0.234,JPN_LL1_NEA,2009
0.234,JPN_LL1_NEA,2010
0.234,JPN_LL1_NEA,2011
0.234,JPN_LL1_NEA,2012
0.234,JPN_LL1_NEA,2013
0.234,JPN_LL1_NEA,2014
0.234,JPN_LL1_NEA,2015
0.275,JPN_LL2_NEA,1974
0.275,JPN_LL2_NEA,1975
0.275,JPN_LL2_NEA,1976
0.275,JPN_LL2_NEA,1977
0.275,JPN_LL2_NEA,1978
0.275,JPN_LL2_NEA,1979
0.275,JPN_LL2_NEA,1980
0.275,JPN_LL2_NEA,1981
0.275,JPN_LL2_NEA,1982
0.275,JPN_LL2_NEA,1983
0.275,JPN_LL2_NEA,1984
0.275,JPN_LL2_NEA,1985
0.275,JPN_LL2_NEA,1986
0.275,JPN_LL2_NEA,1987
0.275,JPN_LL2_NEA,1988
0.275,JPN_LL2_NEA,1989
0.275,JPN_LL2_NEA,1990
0.275,JPN_LL2_NEA,1991
0.275,JPN_LL2_NEA,1992
0.275,JPN_LL2_NEA,1993
0.275,JPN_LL2_NEA,1994
0.275,JPN_LL2_NEA,1995
0.275,JPN_LL2_NEA,1996
0.275,JPN_LL2_NEA,1997
0.275,JPN_LL2_NEA,1998
0.275,JPN_LL2_NEA,1999
0.275,JPN_LL2_NEA,2000
0.275,JPN_LL2_NEA,2001
0.275,JPN_LL2_NEA,2002
0.275,JPN_LL2_NEA,2003
0.275,JPN_LL2_NEA,2004
0.275,JPN_LL2_NEA,2005
0.275,JPN_LL2_NEA,2006
0.275,JPN_LL2_NEA,2007
0.275,JPN_LL2_NEA,2008
0.275,JPN_LL2_NEA,2009
0.275,JPN_LL2_NEA,2010
0.275,JPN_LL2_NEA,2011
0.275,JPN_LL2_NEA,2012
0.275,JPN_LL2_NEA,2013
0.275,JPN_LL2_NEA,2014
0.275,JPN_LL2_NEA,2015
0.42,SP_BB1,1974
0.42,SP_BB1,1975
0.42,SP_BB1,1976
0.42,SP_BB1,1977
0.42,SP_BB1,1978
0.42,SP_BB1,1979
0.42,SP_BB1,1980
0.42,SP_BB1,1981
0.42,SP_BB1,1982
0.42,SP_BB1,1983
0.42,SP_BB1,1984
0.42,SP_BB1,1985
0.42,SP_BB1,1986
0.42,SP_BB1,1987
0.42,SP_BB1,1988
0.42,SP_BB1,1989
0.42,SP_BB1,1990
0.42,SP_BB1,1991
0.42,SP_BB1,1992
0.42,SP_BB1,1993
0.42,SP_BB1,1994
0.42,SP_BB1,1995
0.42,SP_BB1,1996
0.42,SP_BB1,1997
0.42,SP_BB1,1998
0.42,SP_BB1,1999
0.42,SP_BB1,2000
0.42,SP_BB1,2001
0.42,SP_BB1,2002
0.42,SP_BB1,2003
0.42,SP_BB1,2004
0.42,SP_BB1,2005
0.42,SP_BB1,2006
0.42,SP_BB1,2007
0.42,SP_BB1,2008
0.42,SP_BB1,2009
0.42,SP_BB1,2010
0.42,SP_BB1,2011
0.42,SP_BB1,2012
0.42,SP_BB1,2013
0.42,SP_BB1,2014
0.42,SP_BB1,2015
0.346,SP_BB2,1974
0.346,SP_BB2,1975
0.346,SP_BB2,1976
0.346,SP_BB2,1977
0.346,SP_BB2,1978
0.346,SP_BB2,1979
0.346,SP_BB2,1980
0.346,SP_BB2,1981
0.346,SP_BB2,1982
0.346,SP_BB2,1983
0.346,SP_BB2,1984
0.346,SP_BB2,1985
0.346,SP_BB2,1986
0.346,SP_BB2,1987
0.346,SP_BB2,1988
0.346,SP_BB2,1989
0.346,SP_BB2,1990
0.346,SP_BB2,1991
0.346,SP_BB2,1992
0.346,SP_BB2,1993
0.346,SP_BB2,1994
0.346,SP_BB2,1995
0.346,SP_BB2,1996
0.346,SP_BB2,1997
0.346,SP_BB2,1998
0.346,SP_BB2,1999
0.346,SP_BB2,2000
0.346,SP_BB2,2001
0.346,SP_BB2,2002
0.346,SP_BB2,2003
0.346,SP_BB2,2004
0.346,SP_BB2,2005
0.346,SP_BB2,2006
0.346,SP_BB2,2007
0.346,SP_BB2,2008
0.346,SP_BB2,2009
0.346,SP_BB2,2010
0.346,SP_BB2,2011
0.346,SP_BB2,2012
0.346,SP_BB2,2013
0.346,SP_BB2,2014
0.346,SP_BB2,2015
0.4,FR_AER1,1974
0.4,FR_AER1,1975
0.4,FR_AER1,1976
0.4,FR_AER1,1977
0.4,FR_AER1,1978
0.4,FR_AER1,1979
0.4,FR_AER1,1980
0.4,FR_AER1,1981
0.4,FR_AER1,1982
0.4,FR_AER1,1983
0.4,FR_AER1,1984
0.4,FR_AER1,1985
0.4,FR_AER1,1986
0.4,FR_AER1,1987
0.4,FR_AER1,1988
0.4,FR_AER1,1989
0.4,FR_AER1,1990
0.4,FR_AER1,1991
0.4,FR_AER1,1992
0.4,FR_AER1,1993
0.4,FR_AER1,1994
0.4,FR_AER1,1995
0.4,FR_AER1,1996
0.4,FR_AER1,1997
0.4,FR_AER1,1998
0.4,FR_AER1,1999
