,MOR_SP_TP,MOR_POR_TP,JPN_LL_EastMed,JPN_LL1_NEA,JPN_LL2_NEA,SP_BB1,SP_BB2,FR_AER1,FR_AER2,WMED_LARV
year,1,2,3,4,5,6,7,8,9,10
1974,,,,,,245.390,,,,
1975,,,1.900,,,484.220,,,,
1976,,,2.150,,,483.960,,,,
1977,,,3.530,,,547.560,,,,
1978,,,1.500,,,705.260,,,,
1979,,,2.700,,,623.010,,,,
1980,,,1.690,,,634.810,,,,
1981,768.360,,1.630,,,510.660,,,,
1982,1038.120,,3.320,,,503.780,,,,
1983,1092.050,,2.120,,,625.140,,,,
1984,1200.270,,1.620,,,331.710,,,,
1985,814.460,,1.750,,,1125.740,,,,
1986,394.330,,1.320,,,751.210,,,,
1987,433.530,,2.160,,,1008.430,,,,
1988,1014.560,,1.350,,,1394.680,,,,
1989,531.450,,1.050,,,1285.600,,,,
1990,614.370,,1.410,0.466,,986.510,,,,
1991,727.860,,1.210,0.529,,901.200,,,,
1992,313.950,,1.030,0.875,,695.160,,,,
1993,325.360,,1.040,0.739,,2093.550,,,,
1994,341.900,,1.120,0.928,,1007.030,,,,
1995,223.430,,1.420,0.972,,1235.910,,,,
1996,375.220,,0.500,2.843,,1739.290,,,,
1997,992.410,,0.530,1.508,,2246.410,,,,
1998,925.140,,0.710,0.870,,879.510,,,,
1999,1137.450,,0.640,1.250,,339.770,,,,
2000,739.230,,0.740,0.982,,960.440,,0.020,,
2001,1284.620,,0.960,1.825,,704.490,,0.010,,5.497
2002,1130.420,,2.050,0.822,,687.420,,0.010,,2.758
2003,662.660,,1.700,1.097,,444.910,,0.010,,13.401
2004,332.360,,0.820,0.844,,1210.460,,,,9.026
2005,677.390,,0.880,0.751,,2383.570,,,,3.561
2006,633.940,,1.910,0.833,,850.090,,,,
2007,1000.600,,0.940,0.844,,,2179.982,,,
2008,634.180,,1.220,1.173,,,2154.014,,,
2009,876.710,,1.040,1.499,,,955.377,,0.060,
2010,1042.240,,,,2.222,,2126.197,,0.040,
2011,674.970,,,,4.452,,2785.474,,0.090,
2012,,41.150,,,7.702,,2306.988,,0.040,41.051
2013,,88.580,,,6.109,,1569.126,,,21.833
2014,,48.540,,,9.696,,678.287,,0.170,25.407
2015,,66.980,,,5.908,,,,0.090,54.287
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
