Fleet,CAN_Combined_RR,CAN_GSL_Acoustic,US_RR<145,US_RR_66_114,US_RR_115_144,US_RR_145_177,US_RR>195,US_RR>195_COMB,US_RR>177,JLL_AREA_2_(WEST),JLL_AREA_3_(31+32),JLL_AREAS_17+18,LARVAL_ZERO_INFLATED,GOM_PLL_1-6,JLL_GOM,TAGGING,JLL_AREA_2_RECENT,MOR_SP_TP,MOR_POR_TP,JPN_LL_EastMed,JPN_LL1_NEA,JPN_LL2_NEA,SP_BB1,SP_BB2,FR_AER1,FR_AER2,WMED_LARV
Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1,2,3,4,5,6,7,8,9,10
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.9273891,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12581.13208,0,0,0,0,8759.945789,0,0,219.9085147,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,4589.74359,0,0,0,0,14307.46269,0,0,0,0,6086.162791,0,0,95.81826184,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,1194.382022,0,0,3959.504132,0,10529.67033,0,0,0,0,3128.713314,0,0,157.2259351,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,2038.356164,0,0,1815.766739,0,9553.409091,0,0,0,0,2011.840667,0,0,187.6753878,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,5164.634146,0,0,0,0,6998.449612,0,0,0,0,2354.325926,0,0,77.42658705,0,0,0,0
1980,0,0,8091.25,0,0,0,0,0,0,5595.714286,0,0,0,0,5975.862069,0,0,0,0,3532.037278,0,0,107.8024858,0,0,0,0
1981,0,0,11867.5,0,0,0,0,0,0,7134.234234,0,0,6067.826087,0,12687.27273,0,0,11.90166849,0,2216.595092,0,0,187.5855481,0,0,0,0
1982,0,0,3581.428571,0,0,0,0,0,0,1669.230769,0,0,0,0,0,0,0,14.14268582,0,7277.801205,0,0,102.9573326,0,0,0,0
1983,0,0,4766.666667,0,0,0,464.7686833,0,0,3956.521739,0,0,0,0,0,0,0,8.353250309,0,9401.693868,0,0,521.1278194,0,0,0,0
1984,1166.666667,0,0,0,0,0,950.4,0,0,4347.761194,0,0,0,0,0,0,0,14.73694419,0,10035.17531,0,0,496.634898,0,0,0,0
1985,1022.580645,0,19668.25397,0,0,0,1175.581395,0,0,2402.409639,0,0,0,0,0,0,0,11.9162709,0,4402.996,0,0,121.2242294,0,0,0,0
1986,600,0,18606.41026,0,0,0,922,0,0,127100,0,0,0,0,0,0,0,15.36257196,0,4522.672727,0,0,276.0083865,0,0,0,0
1987,763.6363636,0,22620.4918,0,0,0,947.1698113,0,0,4532.432432,0,0,0,0,0,0,0,15.9378705,0,3240.747222,0,0,128.7875152,0,0,0,0
1988,2348.333333,0,25146.46465,0,0,0,554.2553191,0,0,10482.85714,0,0,0,0,0,0,0,14.48888582,0,6201.487407,0,0,205.439599,0,0,0,0
1989,4662.5,0,19046.46465,0,0,0,714.4736842,0,0,7457.971014,0,0,0,0,0,0,0,23.78750588,0,3846.822857,0,0,194.2181168,0,0,0,0
1990,10426.08696,0,23164.44444,0,0,0,1261.904762,0,0,9550,0,0,0,0,0,0,0,41.58875108,0,4831.68156,10322.60515,0,118.6641058,0,0,0,0
1991,12136.36364,0,22150.79365,0,0,0,975.6097561,0,0,8688.333333,0,0,0,0,0,0,0,28.2429437,0,7020.02314,24335.10019,0,104.127419,0,0,0,0
1992,8712.5,0,10153.65854,0,0,0,760.4395604,0,0,5303.669725,0,0,0,0,0,0,0,32.54584488,0,11442.57864,12005.34971,0,118.0014227,0,0,0,0
1993,7091.666667,0,0,5100.862069,2309.090909,0,0,0,0,5384.693878,0,0,0,0,0,0,0,24.56454082,0,9340.375,17819.62382,0,121.3196561,0,0,0,0
