Predicted age composition of catch-at-age,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1974,pred,0.141261,0.417648,0.15692,0.110302,0.0577218,0.0500212,0.00637622,0.00589648,0.00503724,0.00431321,0.00494056,0.00435227,0.00502412,0.0052534,0.00558,0.0193518
1975,pred,0.0704989,0.447011,0.204408,0.103849,0.0609737,0.04818,0.0152012,0.0047505,0.00361643,0.00350501,0.00381674,0.00412517,0.00398079,0.00387143,0.00519356,0.0170182
1976,pred,0.0585912,0.278974,0.275757,0.170113,0.0723852,0.0638428,0.0185939,0.0143316,0.00369325,0.00319039,0.0039276,0.00403408,0.00476907,0.00387832,0.00482342,0.0190958
1977,pred,0.0485967,0.239574,0.175237,0.234125,0.121274,0.0772046,0.0254141,0.0183162,0.0116735,0.00342412,0.003754,0.00434977,0.00486982,0.00484077,0.00500635,0.0223406
1978,pred,0.0412101,0.209988,0.153796,0.15317,0.171228,0.133705,0.0312926,0.0260487,0.0155069,0.0112802,0.00420723,0.00433545,0.00547461,0.00513822,0.00650591,0.0271126
1979,pred,0.0810566,0.171752,0.132112,0.13117,0.109793,0.183437,0.0537354,0.0315481,0.0217504,0.0147782,0.0136413,0.00478034,0.00535644,0.00567487,0.00675026,0.0326633
1980,pred,0.0779803,0.304154,0.0944489,0.0990535,0.0825992,0.103569,0.0647922,0.0486337,0.0236719,0.0186934,0.0161275,0.0139573,0.00530664,0.0049729,0.00666148,0.0353783
1981,pred,0.0747341,0.292774,0.165958,0.0703135,0.0621009,0.0772204,0.0367341,0.0593822,0.0370502,0.0207047,0.0207394,0.0167469,0.0156764,0.00497694,0.00586657,0.0390214
1982,pred,0.143572,0.269517,0.145724,0.114491,0.0400731,0.0547423,0.023653,0.0297243,0.0394457,0.0281976,0.0201593,0.0189576,0.0167435,0.0130677,0.00534321,0.0365887
1983,pred,0.0217775,0.118498,0.127061,0.0798848,0.0812264,0.0416445,0.0356669,0.0457197,0.057731,0.0954491,0.0755848,0.0475214,0.0389394,0.030105,0.0201035,0.0830862
1984,pred,0.0133926,0.104786,0.246699,0.0794519,0.075993,0.0697677,0.0233847,0.0322753,0.0327692,0.0415941,0.0686965,0.0553693,0.0327702,0.0302459,0.0192209,0.073583
1985,pred,0.0160686,0.0699531,0.235044,0.166529,0.081261,0.0699701,0.0421682,0.0226808,0.024806,0.0253169,0.0321034,0.0539598,0.0409824,0.0272892,0.0207575,0.0711097
1986,pred,0.0183859,0.0854064,0.159647,0.159948,0.172192,0.0754278,0.0424021,0.0412474,0.017508,0.0192489,0.0196255,0.0253318,0.0400992,0.0343184,0.0187921,0.0704202
1987,pred,0.0212821,0.092396,0.183948,0.102961,0.156398,0.151205,0.0433831,0.0392299,0.0301697,0.0128729,0.0141391,0.014672,0.0178441,0.0317999,0.0224152,0.0652846
